nominativo,regione,sesso,città_nascita,lat,lon,scheda,link,id
Romolo Stefani,Liguria,M,S. Stefano d'Aveto (GE),44.54921,9.4507,"Nato a Santo Stefano d’Aveto (GE) il 17 gennaio 1926 Nome di battaglia “Diego” Brigata Berto, Distaccamento Lago Il fratello Simone, classe 1922, partigiano nella Brigata Oreste (poi divenuta Divisione Pinan Cichero) fu catturato e ucciso a Chiavari dopo 10 giorni di sevizie il 4 agosto 1944 Nell’intervista fa riferimento all’incendio di Cichero avvenuto il 16 luglio 1944, quando i nazifascisti uccisero 7 partigiani e diedero fuoco al paese L’intervista è stata realizzata da Marina Marchetti nel 2004",https://www.noipartigiani.it/stefani_ok/,1121478581
Rocco Bruno,Piemonte,M,Fossano (CN),44.5518,7.72304,"Rocco Bruno Nato a Fossano (CN) il 5 agosto 1925, contadino Nome di battaglia “Reno” Terza Divisione Alpi, comandata da Piero Cosa, Brigata Fossano nel 1945 Benemerito L’intervista è stata realizzata da Giulia Arduino nel giugno del 2025",https://www.noipartigiani.it/rocco_bruno/,1122930369
Elio Storta,Piemonte,M,Torino,45.06775,7.68249,"Elio Storta Nato a Torino il 16 gennaio 1924, impiegato Nome di battaglia “Eli” 76ª Brigata Garibaldi, vice comandante di distaccamento L’intervista è stata realizzata da Giulia Arduino nel giugno 2025",https://www.noipartigiani.it/storta_elio/,1122168627
Santina Tribolo,Piemonte,F,Barge (CN),44.72621,7.3223,"Santina Tribolo Nata a Barge (CN) il primo settembre 1934 Racconta dell’uccisione del padre Marco da parte dei tedeschi il 21 dicembre 1943, dell’incendio del paese l’1 luglio 1944, dei due fratelli partigiani con cui teneva i collegamenti L’intervista è stata realizzata nel 2025 da Dario Crivello e Giovanni Polesello con la collaborazione di Paola Lasala",https://www.noipartigiani.it/tribolo/,1121583653
Carlo Ceriani,Lombardia,M,Thiene (VI),45.70732,11.47779,"Carlo Ceriani Nato a Thiene (VI) l’11 giugno 1925, tornitore Ha svolto la sua attività resistente nella 115ª Brigata Garibaldi alla Motomeccanica di Milano comandata da Siro Mascherpa e Antonio Redetti. L’intervista è stata realizzata nel giugno 2025",https://www.noipartigiani.it/ceriani_/,1097818088
Amedeo Borghesi,Piemonte,M,Gravellona Toce (VB),45.92882,8.43285,"Amedeo Borghesi Nato a Gravellona Toce (VB) il 30 aprile 1928, operaio Nome di battaglia “Lepre” Seconda Divisione Redi comandata da Aldo Aniasi “Iso” Sulla sua esperienza ha scritto il libro “Memorie e ricordi di nonno Amedeo” L’intervista è stata realizzata nel giugno 2025",https://www.noipartigiani.it/borghesi/,1095646967
Aldo Giacon,Veneto,M,Grumolo d. Abbadesse (VI),45.50974,11.66631,"Aldo Giacon Nato a Grumolo delle Abbadesse (VI) il 14 settembre 1924, operaio meccanico 11° Reggimento Bersaglieri IMI Internato Militare Italiano Fu catturato nel settembre del 1943 e deportato a Torun, in Polonia L’intervista è stata realizzata nel gennaio 2025 da Luca Fregona",https://www.noipartigiani.it/giacon/,1090123885
Lea Gariazzo,Piemonte,F,Ponderano (BI),45.52988,8.05389,"Lea Gariazzo Nata a Ponderano (BI) il 29 marzo 1924, operaia Nome di battaglia “Katia” Ha svolto il ruolo di staffetta e distribuzione di stampa clandestina Nelle riunioni clandestine ha conosciuto il futuro marito il partigiano Sergio Carta “Zambo”, comandante di distaccamento della 50ª Brigata Garibaldi. L’intervista è stata realizzata da Giulia Arduino nel febbraio 2025",https://www.noipartigiani.it/gariazzo/,1090123467
Vittore Nosari,Veneto,M,Isola della Scala (VR),45.26876,11.00977,"Vittore Nosari Nato a Isola della Scala (VR) l’8 marzo 1928 Nome di battaglia “Vito” 19ª Brigata “Eusebio Giambone”, 2ª divisione Garibaldi L’intervista è stata realizzata nel febbraio 2021",https://www.noipartigiani.it/nosari/,1090128836
Giovanni Capello,Piemonte,M,Monteu Roero (CN),44.79159,7.93774,Giovanni Capello Nato a Monteu Roero (CN) il 6 gennaio 1935 Racconta il tempo di guerra e l’aiuto che la famiglia dava ai partigiani di un distaccamento garibaldino. L’intervista è stata realizzata nel maggio 2025,https://www.noipartigiani.it/capello/,1086838395
Mario Parmigiani,Piemonte,M,Ornavasso (VB),45.97018,8.41113,"Mario Parmigiani Nato a Ornavasso (VB) il 22 giugno 1925, operaio Divisione autonoma Valtoce comandata da Alfredo Di Dio “Marco” Squadra guastatori L’intervista è stata realizzata da Paolo De Toni nell’ottobre 2016",https://www.noipartigiani.it/parmigiani/,1045071003
Vittorio Tonarelli,Toscana,M,Forno (MS),44.08115,10.2033,"Don Vittorio Tonarelli Parroco di Forno (MS) il 13 giugno 1944 quando Xª Mas e tedeschi uccisero 60 civili Nei giorni precedenti i partigiani della brigata “Luigi Mulargia”, ritenendo imminente lo sbarco degli Alleati, avevano occupato il paese. Il 13 giugno i nazifascisti scatenarono la rappresaglia uccidendo il comandate Marcello Garosi “Tito” , Medaglia d’oro alla Memoria, e altri sette partigiani. Venne ucciso anche il maresciallo dei carabinieri Ciro Siciliano, Medaglia d’oro al merito civile, che aveva cercato di intercedere per la popolazione. Si accanirono poi sui civili che Don Vittorio cercò di aiutare, salvando anche dei bambini rinchiusi in...",https://www.noipartigiani.it/tonarelli/,1077525557
Ovis Ferrari,Emilia Romagna,M,Carpi (MO),44.78287,10.88457,"Ovis Ferrari Nato a Carpi (MO) il 9 settembre 1924, macellaio Nome di battaglia “Nembo” Comandante di distaccamento 2ª Brigata Sambolino, Divisione “Gin Bevilacqua” che operava nel savonese Nell’intervista fa riferimento al fratello Irios, ucciso a Carpi il 22 aprile 1945 L’intervista è stata realizzata da Pino Sperandio",https://www.noipartigiani.it/ferrari_ovis/,1077532725
Ottavia Fenoglio,Piemonte,F,Bagnolo Piemonte (CN),44.76014,7.31175,"Ottavia (Lina) Fenoglio Nata a Bagnolo Piemonte (CN) l’8 agosto 1914, commessa Staffetta Ha svolto la sua attività per la 4ª Brigata Garibaldi e la 105ª Brigata Garibaldi di cui faceva parte il futuro marito Pietro Menudo “Nettuno” L’intervista è stata realizzata da Francesco Perrone nell’ottobre del 2005",https://www.noipartigiani.it/fenoglio-ottavia/,1076709866
Felice Valtorta,Lombardia,M,Milano,45.46419,9.18963,"Felice Valtorta Nato a Milano l’11 novembre 1926 Nome di battaglia “Fermo” 112ª Brigata Garibaldi Sap comandata dal fratello Angelo Il 26 aprile 1945, durante l’insurrezione, Angelo fu gravemente ferito in uno scontro con i tedeschi in cui cadde il partigiano Ernesto “Gino” Visconti L’intervista è stata realizzata nel 2012 per il documentario “43-12 Riprendere la Resistenza”",https://www.noipartigiani.it/valtorta/,1077525114
Dante Raina,Lombardia,M,Zibido S. Giacomo (MI),45.36224,9.11794,Dante Raina Nato a Zibido San Giacomo (MI) il 23 settembre 1921 18ª Brigata del Popolo Sergente Ha operato soprattutto a Milano e in parte in Val Taleggio L’intervista è stata realizzata da Maurizio Pratt nel 2004,https://www.noipartigiani.it/raina-dante/,1077524690
Franco Ceste,Piemonte,M,Canelli (AT)*,44.72147,8.28681,Franco Ceste Nato a Canelli (CN) il 24 novembre 1927 Benché non facesse parte della Resistenza fu catturato dalla X MAS e portato nel carcere di Torino e a San Vittore a Milano Fu poi deportato in Germania in un sottocampo di Mauthausen,https://www.noipartigiani.it/ceste/,1077524509
Guerrino Gotti,Emilia Romagna,M,Anzola dell'Emilia (BO),44.54714,11.19655,"Guerrino Gotti Nato ad Anzola dell’Emilia (BO) il 3 marzo 1927, operaio meccanico 63ª Brigata Bolero Sergente L’intervista è stata realizzata nel marzo 2002 da Antonella Restelli",https://www.noipartigiani.it/gotti/,1075955593
Vincenzo Modica,Sicilia,M,Mazara del Vallo (TP),37.65215,12.58804,"Vicenzo Modica Nato ad Mazara del Vallo (TP) il 18 ottobre 1919, agricoltore Nome di battaglia “Petralia” Comandante 4ª Brigata Cuneo, comandante della 1ª Divisione “Leo Lafranco” Ufficiale di cavalleria, dopo l’8 settembre con il commilitone Pompeo Colajanni, il comandante “Barbato”, diede vita nel Monferrato alle prime formazioni partigiane. Una settimana prima della Liberazione, guidò la presa della città di Chieri. L’intervista è stata realizzata nel dicembre 2002 da Francesco Perrone",https://www.noipartigiani.it/modica_2/,1075955190
Arrigo Diodati,Liguria,M,La Spezia,44.10427,9.82319,"Arrigo Diodati Nato a La Spezia il 25 maggio 1926 Nome di battaglia “Franco” Fronte della gioventù, Vice commissario Sap di Genova, Brigata Pio Divisione Mingo È l’unico sopravvissuto all’eccidio di Cravasco, nell’entroterra di Genova, dove il 23 marzo 1945 furono fucilati dai nazifascisti 17 detenuti politici. Diodati, ferito e creduto morto, riuscì invece a salvarsi. Nel 1957 ha fondato l’Arci di cui è stato poi presidente onorario L’intervista è tratta dal documentario “Filo rosso. Arrigo Diodati, la Resistenza, l’Arci” di Susanna Guidi e Giovanni De Rose",https://www.noipartigiani.it/diodati/,1076454943
Bruno Pasquali,Piemonte,M,Torino,45.06775,7.68249,"Bruno Pasquali Nato a Torino il 24 luglio 1926, disegnatore Nome di battaglia “Nullo” Formazioni autonome, 19ª Brigata Garibaldi, 9ª Brigata Garibaldi",https://www.noipartigiani.it/pasquali/,1076710134
Giovanni Pesce,Piemonte,M,Visone (AL),44.66223,8.5222,"Giovanni Pesce Nato a Visone (AL) il 22 febbraio 1918, minatore Nome di battaglia “Visone” Combattente garibaldino nella Guerra di Spagna Al confino a Ventotene Comandante dei Gap prima a Torino e poi della 3ª Gap a Milano Medaglia d’oro al Valor Militare Nel dopoguerra è stato presidente dell’ Anpi e sulla sua storia ha scritto i libri “Senza tregua. La guerra dei Gap”; “Quando cessarono gli spari”; “Soldati senza uniforme” Anche la testimonianza della moglie Onorina Brambilla “Sandra”, Gap, con lui nell’intervista, è conservata nel Memoriale L’intervista è stata realizzata nel marzo 2006",https://www.noipartigiani.it/pesce/,1076910824
Onorina Brambilla,Lombardia,F,Milano,45.46419,9.18963,"Onorina Brambilla Nata a Milano il 27 agosto 1923 Nome di battaglia “Sandra” Tenente della brigata 3ª Gap Deportata al lager di Bolzano Anche la testimonianza del marito Giovanni Pesce, “Visone”, con lei nell’intervista è conservata nel Memoriale L’intervista è stata realizzata nel marzo 2006",https://www.noipartigiani.it/brambilla/,1076910607
Luigi Pestalozza,Lombardia,M,Milano,45.46419,9.18963,"Luigi Pestalozza Nato a Milano il 20 febbraio 1928, studente Nome di battaglia “Lupi” Brigata Rosselli, Giustizia e Libertà, comandata da Bruno Trentin Nel dopoguerra è diventato critico e musicologo di fama internazionale L’intervista è stata realizzata da Maurizio Pratt nel dicembre 2015",https://www.noipartigiani.it/pestalozza/,1075955004
